player_name;team;notes;gender
7;SPOR TOTO;N1 1-2;M
5;SPOR TOTO;N2 2-2;M
6;SPOR TOTO;B;M
10;SPOR TOTO;S bruno 1-2;M
11;SPOR TOTO;B;M
8;SPOR TOTO;U Wallace 1-1;M
19;SPOR TOTO;S fereire2-2;M
7;SORGUN BLD.;B;M
8;SORGUN BLD.;U Cepeda1-1;M
9;SORGUN BLD.;S1 CIROVIC 1-2;M
12;SORGUN BLD.;N 1-1;M
15;SORGUN BLD.;B;M
18;SORGUN BLD.;S2 1-2;M
4;İSTANBUL BBSK;S2 1-2;M
8;İSTANBUL BBSK;S1 dolezity 2-2;M
9;İSTANBUL BBSK;B;M
10;İSTANBUL BBSK;N1-1;M
15;İSTANBUL BBSK;B;M
19;İSTANBUL BBSK;U Coskun 1-1;M
1;GALATASARAY HDI SİGORTA;N 1-2;M
2;GALATASARAY HDI SİGORTA;S Avci 1-4;M
3;GALATASARAY HDI SİGORTA;S Siratca1-4;M
7;GALATASARAY HDI SİGORTA;B;M
8;GALATASARAY HDI SİGORTA;S Subasi1-4;M
9;GALATASARAY HDI SİGORTA;S Aydin1-4;M
10;GALATASARAY HDI SİGORTA;N yenipazar 2-2;M
11;GALATASARAY HDI SİGORTA;U Torres1-1;M
17;GALATASARAY HDI SİGORTA;B;M
1;ALTEKMA;U2 2-2;M
7;ALTEKMA;B;M
9;ALTEKMA;S Hacioglu 1-2;M
14;ALTEKMA;N buculjevic 1-1;M
17;ALTEKMA;U1 1-2;M
18;ALTEKMA;S HAMACHER 2-2;M
19;ALTEKMA;B;M
1;ARKAS SPOR;U mandiraci 1-2;M
4;ARKAS SPOR;S gungor 1-2;M
8;ARKAS SPOR;B 1;M
9;ARKAS SPOR;N blankenau 1-1;M
11;ARKAS SPOR;S gulmezoglu 2-2;M
17;ARKAS SPOR;U2 2-2;M
20;ARKAS SPOR;B2;M
1;ZİRAAT BANKKART;S1 1-3;M
2;ZİRAAT BANKKART;U 1-1;M
3;ZİRAAT BANKKART;S2-3;M
7;ZİRAAT BANKKART;B;M
8;ZİRAAT BANKKART;S3 3-3;M
10;ZİRAAT BANKKART;N 1-1;M
12;ZİRAAT BANKKART;B;M
5;İNEGÖL BLD.;S uriarte 1-2;M
6;İNEGÖL BLD.;B;M
10;İNEGÖL BLD.;N;M
12;İNEGÖL BLD.;B;M
14;İNEGÖL BLD.;U giorgiev 1-1;M
18;İNEGÖL BLD.;S bahov 2-2;M
1;BURSA B.ŞEHİR BLD.;N2-2;M
4;BURSA B.ŞEHİR BLD.;N1-2;M
8;BURSA B.ŞEHİR BLD.;S1-2;M
9;BURSA B.ŞEHİR BLD.;U 1-1;M
11;BURSA B.ŞEHİR BLD.;S2-2;M
15;BURSA B.ŞEHİR BLD.;B;M
10;BURSA B.ŞEHİR BLD.;B;M
7;HALKBANK;N 1-1;M
10;HALKBANK;B;M
12;HALKBANK;S1-3;M
13;HALKBANK;B;M
19;HALKBANK;U hernandez 1-1;M
20;HALKBANK;S2-3;M
8;HALKBANK;S3-3;M
1;TOKAT BELEDİYE PLEVNE;N1-1;M
2;TOKAT BELEDİYE PLEVNE;U1-1;M
5;TOKAT BELEDİYE PLEVNE;B3;M
6;TOKAT BELEDİYE PLEVNE;S1-2;M
8;TOKAT BELEDİYE PLEVNE;B;M
9;TOKAT BELEDİYE PLEVNE;B;M
18;TOKAT BELEDİYE PLEVNE;S2-2;M
1;FENERBAHÇE HDI SİGORTA;N 1-1;M
3;FENERBAHÇE HDI SİGORTA;B;M
4;FENERBAHÇE HDI SİGORTA;S2-3;M
10;FENERBAHÇE HDI SİGORTA;B;M
13;FENERBAHÇE HDI SİGORTA;S1-3;M
15;FENERBAHÇE HDI SİGORTA;U1-1;M
8;FENERBAHÇE HDI SİGORTA;S3-3;M
2;HALİLİYE BLD.;S 2/2;M
15;HALİLİYE BLD.;N 1/2;M
9;HALİLİYE BLD.;U dolezity 1/1;M
14;HALİLİYE BLD.;S dolezity 1/1;M
17;HALİLİYE BLD.;B;M
10;HALİLİYE BLD.;B;M
3;AFYON BLD. YÜNTAŞ;N;M
5;AFYON BLD. YÜNTAŞ;S sket 1-3;M
6;AFYON BLD. YÜNTAŞ;S poglajen 1-3;M
10;AFYON BLD. YÜNTAŞ;S1-3/U1-2 dobry;M
12;AFYON BLD. YÜNTAŞ;U1-2 lima;M
13;AFYON BLD. YÜNTAŞ;B;M
18;AFYON BLD. YÜNTAŞ;B;M
17;ARHAVİ VOLEYBOL;UCKO;M
1;SOLHAN SPOR;U krauchuk 1-1;M
6;SOLHAN SPOR;S massari1-2;M
7;SOLHAN SPOR;N1-1;M
10;SOLHAN SPOR;B;M
14;SOLHAN SPOR;B;M
15;SOLHAN SPOR;S kuklinski 1-2;M
1;İLBANK;N 1-1;F
16;İLBANK;U1-1;F
10;İLBANK;B;F
3;İLBANK;S3-3;F
12;İLBANK;S1-MVP1-3;F
20;İLBANK;S2-3;F
18;İLBANK;B;F
1;TÜRK HAVA YOLLARI;N1-1;F
5;TÜRK HAVA YOLLARI;S2-3;F
8;TÜRK HAVA YOLLARI;B;F
11;TÜRK HAVA YOLLARI;S1-3;F
19;TÜRK HAVA YOLLARI;S3-3;F
13;TÜRK HAVA YOLLARI;B;F
18;TÜRK HAVA YOLLARI;U-MVP 1-1;F
2;BEŞİKTAŞ;B;F
4;BEŞİKTAŞ;S2-2;F
7;BEŞİKTAŞ;S-MVP 1-2;F
11;BEŞİKTAŞ;N;F
14;BEŞİKTAŞ;U1-1;F
16;BEŞİKTAŞ;B;F
7;PTT;S4-4;F
5;PTT;S3-4;F
10;PTT;S2-4;F
11;PTT;B dolezity;F
14;PTT;U-MVP 1-1;F
15;PTT;B;F
17;PTT;N1-1;F
20;PTT;S1-4;F
5;KUZEYBORU;S1-2;F
7;KUZEYBORU;N1-1;F
11;KUZEYBORU;S2-2;F
13;KUZEYBORU;B;F
16;KUZEYBORU;B;F
17;KUZEYBORU;U1-1;F
5;AYDIN B.ŞEHİR BLD.;B1-1;F
1;AYDIN B.ŞEHİR BLD.;S1-3;F
17;AYDIN B.ŞEHİR BLD.;S3-3;F
11;AYDIN B.ŞEHİR BLD.;N1-1;F
6;AYDIN B.ŞEHİR BLD.;S2-3;F
13;AYDIN B.ŞEHİR BLD.;U-MVP 1-1;F
2;SARIYER BLD.;N1-1;F
6;SARIYER BLD.;B;F
9;SARIYER BLD.;U2-2;F
10;SARIYER BLD.;U1-2 ;F
11;SARIYER BLD.;S2-2;F
12;SARIYER BLD.;S1-2;F
4;SARIYER BLD.;B;F
3;ECZACIBAŞI VİTRA;U boskovvic;F
4;ECZACIBAŞI VİTRA;B;F
7;ECZACIBAŞI VİTRA;S2-3;F
6;ECZACIBAŞI VİTRA;S3-3;F
8;ECZACIBAŞI VİTRA;B;F
12;ECZACIBAŞI VİTRA;N2-2;F
9;ECZACIBAŞI VİTRA;S1-3;F
13;ECZACIBAŞI VİTRA;N1-2;F
8;FENERBAHÇE OPET;B;F
9;FENERBAHÇE OPET;U-MVP1-1;F
6;FENERBAHÇE OPET;N2-2;F
10;FENERBAHÇE OPET;S2-2;F
12;FENERBAHÇE OPET;S1-2 mvp ;F
14;FENERBAHÇE OPET;B;F
17;FENERBAHÇE OPET;N1-2;F
1;NİLÜFER BLD.;S2-2;F
4;NİLÜFER BLD.;U1-1;F
8;NİLÜFER BLD.;N1-1;F
13;NİLÜFER BLD.;S1-2-MVP;F
18;NİLÜFER BLD.;B;F
19;NİLÜFER BLD.;B;F
10;KARAYOLLARI;B;F
2;KARAYOLLARI;S1-3;F
7;KARAYOLLARI;B;F
8;KARAYOLLARI;N1-1;F
9;KARAYOLLARI;S2-3;F
12;KARAYOLLARI;S3-3;F
17;KARAYOLLARI;U1-1-MVP;F
2;SİSTEM9 YEŞİLYURT;B;F
7;SİSTEM9 YEŞİLYURT;N1-1;F
14;SİSTEM9 YEŞİLYURT;U1-1-MVP;F
16;SİSTEM9 YEŞİLYURT;S1-2;F
17;SİSTEM9 YEŞİLYURT;S2-2;F
18;SİSTEM9 YEŞİLYURT;B;F
2;ÇAN GENÇLİK KALE SPOR;S2-2;F
7;ÇAN GENÇLİK KALE SPOR;B;F
8;ÇAN GENÇLİK KALE SPOR;U1-1 MVP;F
9;ÇAN GENÇLİK KALE SPOR;S1-2;F
12;ÇAN GENÇLİK KALE SPOR;B;F
17;ÇAN GENÇLİK KALE SPOR;N1-1;F
2;GALATASARAY HDI SİGORTA;S1-2;F
5;GALATASARAY HDI SİGORTA;B;F
7;GALATASARAY HDI SİGORTA;N1-1;F
8;GALATASARAY HDI SİGORTA;B;F
10;GALATASARAY HDI SİGORTA;S2-2;F
17;GALATASARAY HDI SİGORTA;U-MVP-MVP;F
13;VAKIFBANK;S3-3;F
9;VAKIFBANK;S2-3;F
3;VAKIFBANK;N2-2;F
10;VAKIFBANK;S1-3;F
11;VAKIFBANK;U1-1;F
17;VAKIFBANK;N1-2;F
16;VAKIFBANK;B1;F
18;VAKIFBANK;B;F
99;BEYLİKDÜZÜ VOLEYBOL İHTİSAS;XXX;X
5;Ústí n. L.;S2-2;M
8;Ústí n. L.;U1-2;M
10;Ústí n. L.;S1-2;M
3;Ústí n. L.;B;M
7;Ústí n. L.;B;M
9;Ústí n. L.;N1-1;M
1;Ústí n. L.;U2-2;M
2;Liberec;S1-3;M
17;Liberec;S3-3;M
14;Liberec;S2-3;M
11;Liberec;U1-2;M
3;Liberec;B1;M
9;Liberec;B2;M
18;Liberec;U2-2;M
7;Liberec;N2-2;M
13;Liberec;N1-2;M
10;Karlovarsko;S1-3;M
11;Karlovarsko;S3-3;M
13;Karlovarsko;S2-3;M
4;Karlovarsko;U1-2;M
23;Karlovarsko;U2-2;M
12;Karlovarsko;B;M
14;Karlovarsko;B;M
5;Karlovarsko;N1-1;M
3;Příbram;S1-2;M
12;Příbram;S2-2;M
2;Příbram;U1-2;M
1;Příbram;B;M
11;Příbram;B;M
14;Příbram;N1-1;M
6;Praha;S2-3;M
2;Praha;S3-3;M
15;Praha;S1-3;M
14;Praha;U1-1;M
8;Praha;B;M
20;Praha;B;M
18;Praha;N1-1;M
1;Brno;S1-2;M
4;Brno;N1-1;M
7;Brno;B;M
9;Brno;S2-2;M
10;Brno;U1-1;M
11;Brno;B;M
3;Kladno;N1-1;M
4;Kladno;U1-1;M
5;Kladno;B;M
6;Kladno;S1-2;M
9;Kladno;S2-2;M
21;Kladno;B;M
11;Ostrava;S1-2;M
13;Ostrava;S2-2;M
4;Ostrava;U2;M
2;Ostrava;N2-2;M
5;Ostrava;B;M
4;Ostrava;U2-2;M
14;Ostrava;U1-2;M
7;Ostrava;B;M
12;Ostrava;N1-2;M
5;Zlín;S2-2;M
12;Zlín;U1-1;M
4;Zlín;S1-2;M
9;Zlín;B;M
11;Zlín;B;M
8;Zlín;N2-2;M
2;Zlín;N1-2;M
7;Č. Budějovice;S1-3;M
19;Č. Budějovice;S2-3;M
14;Č. Budějovice;S3-3;M
2;Č. Budějovice;U1-2;M
18;Č. Budějovice;U2-3;M
12;Č. Budějovice;B;M
10;Č. Budějovice;N1-1;M
8;Č. Budějovice;B;M
3;Beskydy;S1-2;M
8;Beskydy;B;M
10;Beskydy;S2-2;M
11;Beskydy;U1-1;M
14;Beskydy;N1-1;M
16;Beskydy;B;M
6;O. Voda;S2-2;M
11;O. Voda;S1-2;M
5;O. Voda;U1-1;M
7;O. Voda;B;M
22;O. Voda;B;M
13;O. Voda;N1-1;F
5;Prostějov;S1-3;F
11;Prostějov;N2-2;F
1;Prostějov;N1-2;F
7;Prostějov;S3-3;F
9;Prostějov;S2-3;F
10;Prostějov;U1-1 naj hracka;F
2;Prostějov;B;F
13;Prostějov;B;F
9;VK Brno;S1-3;F
20;VK Brno;S2-3;F
13;VK Brno;S3-3/U1-2doelzita;F
2;VK Brno;U2-2;F
11;VK Brno;N1-2;F
12;VK Brno;B;F
6;VK Brno;N2-2;F
18;Přerov;S2-3;F
12;Přerov;S3-3;F
16;Přerov;S1-3;F
5;Přerov;U1-1;F
11;Přerov;B;F
15;Přerov;B;F
3;Přerov;N1-1;F
8;Liberec;S1-2;F
10;Liberec;S2-2;F
11;Liberec;U1-1;F
7;Liberec;N2-2;F
3;Liberec;B;F
5;Liberec;B;F
14;Liberec;N1-2;F
5;Ostrava;B;F
10;Ostrava;S1-2;F
2;Ostrava;N2-2;F
12;Ostrava;S2-2;F
7;Ostrava;U1-1;F
14;Ostrava;B;F
4;Ostrava;N1-2;F
17;Frýdek-Místek;S1-2;F
12;Frýdek-Místek;U1-1;F
10;Frýdek-Místek;B;F
16;Frýdek-Místek;B;F
8;Frýdek-Místek;N1-1;F
1;Frýdek-Místek;S2-2;F
2;Kr. Pole;S3-3;F
15;Kr. Pole;S2-3;F
8;Kr. Pole;S1-3;F
11;Kr. Pole;U1-1;F
3;Kr. Pole;B;F
6;Kr. Pole;B;F
17;Kr. Pole;N1-1;F
1;Šternberk;B;F
3;Šternberk;S1-2;F
4;Šternberk;U1-1;F
9;Šternberk;N2-2;F
6;Šternberk;N1-2;F
10;Šternberk;B;F
11;Šternberk;S2-2;F
9;Olomouc;S1-2;F
16;Olomouc;S2-2;F
6;Olomouc;U1-1;F
5;Olomouc;B;F
10;Olomouc;B;F
15;Olomouc;N1-1;F
5;Olymp;S1-3;F
9;Olymp;S3-3;F
15;Olymp;S2-3;F
1;Olymp;N2-2;F
4;Olymp;U1-1;F
8;Olymp;B;F
18;Olymp;B;F
6;Olymp;N1-2;F
17;DUNAFERR SE;S1-2;X
1;DUNAFERR SE;S2-2;X
3;DUNAFERR SE;N2-2;X
2;DUNAFERR SE;B;X
13;DUNAFERR SE;N1-2;X
5;DUNAFERR SE;U1-1;X
6;DUNAFERR SE;B;X
8;Vegyész RC Kazincbarcika;S1-2;X
10;Vegyész RC Kazincbarcika;S1-2;X
6;Vegyész RC Kazincbarcika;N1-1;X
15;Vegyész RC Kazincbarcika;U1-1;X
3;Vegyész RC Kazincbarcika;B;X
7;Vegyész RC Kazincbarcika;B;X
2;DEAC SNK KFT;B;X
4;DEAC SNK KFT;S1-2;X
6;DEAC SNK KFT;B;X
20;DEAC SNK KFT;N1-1;X
13;DEAC SNK KFT;U1-1;X
18;DEAC SNK KFT;S1-2;X
1;KECSKEMÉTI RC;B;X
4;KECSKEMÉTI RC;S1-2;X
9;KECSKEMÉTI RC;S2-2;X
10;KECSKEMÉTI RC;N1-1;X
12;KECSKEMÉTI RC;B;X
17;KECSKEMÉTI RC;U1-1;X
2;MAFC-BME;S1-2;X
8;MAFC-BME;U1-1-MVP;X
10;MAFC-BME;S2-2;X
11;MAFC-BME;B;X
17;MAFC-BME;B;X
18;MAFC-BME;N1-1;X
5;FINO Kaposvár;U1-1;X
7;FINO Kaposvár;B;X
11;FINO Kaposvár;S2-2;X
12;FINO Kaposvár;S1-2;X
13;FINO Kaposvár;N1-1;X
1;FINO Kaposvár;B1;X
6;LV SPORT PÉNZÜGYŐR SE;N1-1;M
7;LV SPORT PÉNZÜGYŐR SE;B;M
8;LV SPORT PÉNZÜGYŐR SE;U1-1;M
12;LV SPORT PÉNZÜGYŐR SE;S1-2;M
17;LV SPORT PÉNZÜGYŐR SE;B;M
19;LV SPORT PÉNZÜGYŐR SE;S2-2;M
6;MÁV ELŐRE Bericap;S1-2;M
7;MÁV ELŐRE Bericap;N2-2;M
8;MÁV ELŐRE Bericap;S2-2;M
10;MÁV ELŐRE Bericap;N1-2;M
13;MÁV ELŐRE Bericap;U1-1;M
16;MÁV ELŐRE Bericap;B;M
18;MÁV ELŐRE Bericap;B;M
1;SÜMEGI RÖPLABDA EGYESÜLET;S2-2;M
2;SÜMEGI RÖPLABDA EGYESÜLET;B;M
16;SÜMEGI RÖPLABDA EGYESÜLET;U2-2;M
3;SÜMEGI RÖPLABDA EGYESÜLET;B;M
6;SÜMEGI RÖPLABDA EGYESÜLET;U1-2;M
11;SÜMEGI RÖPLABDA EGYESÜLET;S1-2;M
12;SÜMEGI RÖPLABDA EGYESÜLET;N1-1;M
1;DÁG KSE;N1-1;M
2;DÁG KSE;S1-2;M
3;DÁG KSE;B;M
4;DÁG KSE;S2-2;M
9;DÁG KSE;U1-1;M
13;DÁG KSE;B;M
3;Szolnoki Röplabda klub;B;M
4;Szolnoki Röplabda klub;S2-3;M
5;Szolnoki Röplabda klub;S1-3;M
7;Szolnoki Röplabda klub;U1-1;M
8;Szolnoki Röplabda klub;B;M
11;Szolnoki Röplabda klub;N1-1;M
12;Szolnoki Röplabda klub;S3-3;M
2;MEAFC-Miskolc;S2-3;M
5;MEAFC-Miskolc;B2;M
6;MEAFC-Miskolc;B1;M
10;MEAFC-Miskolc;U1-2;M
13;MEAFC-Miskolc;U2-2;M
14;MEAFC-Miskolc;S1-3;M
17;MEAFC-Miskolc;N1-1;M
1;KISTEXT;N1-1;M
3;KISTEXT;U1-1;M
5;KISTEXT;S1-2;M
7;KISTEXT;B;M
9;KISTEXT;B;M
12;KISTEXT;S2-2;M
99;Vidux-Szegedi RSE;XXX;M
3;Szent Benedek RA;B;F
4;Szent Benedek RA;U1-1;F
6;Szent Benedek RA;B;F
10;Szent Benedek RA;N1-1;F
11;Szent Benedek RA;S1-2;F
18;Szent Benedek RA;S2-2;F
2;DVTK;N2-2;F
4;DVTK;B;F
6;DVTK;B;F
8;DVTK;S1-3;F
10;DVTK;S2-3;F
12;DVTK;N1-2;F
19;DVTK;U1-1;F
3;Vasas Óbuda;N1-1;F
6;Vasas Óbuda;S2-3;F
7;Vasas Óbuda;S1-3;F
10;Vasas Óbuda;B;F
11;Vasas Óbuda;U1-1;F
14;Vasas Óbuda;S3-3;F
19;Vasas Óbuda;B;F
1;SWIETELSKY - BRSE;U1-1-Mvp;F
2;SWIETELSKY - BRSE;N1-1;F
6;SWIETELSKY - BRSE;S1-3;F
8;SWIETELSKY - BRSE;B;F
18;SWIETELSKY - BRSE;S3-3;F
11;SWIETELSKY - BRSE;S2-3;F
16;SWIETELSKY - BRSE;B;F
1;FATUM Nyíregyháza;S2-2;F
10;FATUM Nyíregyháza;N1-1;F
11;FATUM Nyíregyháza;U1-1;F
12;FATUM Nyíregyháza;S1-2-MVP;F
14;FATUM Nyíregyháza;B;F
17;FATUM Nyíregyháza;B;F
1;1. MCM-Diamant Kaposvár;S1-3- mvp;F
7;2. MCM-Diamant Kaposvár;N1-1;F
9;3. MCM-Diamant Kaposvár;B;F
12;4. MCM-Diamant Kaposvár;S3-3;F
10;4. MCM-Diamant Kaposvár;S2-3;F
15;5. MCM-Diamant Kaposvár;B;F
17;6. MCM-Diamant Kaposvár;U1-1;F
1;MTK Budapest;U1-1 mvp;F
4;MTK Budapest;B;F
5;MTK Budapest;S3-3;F
9;MTK Budapest;S1-3;F
11;MTK Budapest;B;F
12;MTK Budapest;N1-1;F
15;MTK Budapest;S2-3;F
2;UTE;S1-2;F
4;UTE;N1-1;F
6;UTE;B;F
9;UTE;B;F
16;UTE;U1-1;F
17;UTE;S2-2;F
3;PTE-PEAC;S1-2;F
4;PTE-PEAC;B;F
20;PTE-PEAC;N1-1;F
12;PTE-PEAC;B;F
14;PTE-PEAC;S2-2;F
17;PTE-PEAC;U1-1;F
1;Budaörsi DSE;N1-1;F
2;Budaörsi DSE;U nezlozila este;F
4;Budaörsi DSE;S1-3;F
6;Budaörsi DSE;S2-3;F
19;Budaörsi DSE;S3-3;F
14;Budaörsi DSE;B;F
16;Budaörsi DSE;B;F
1;GÖDÖLLŐI RC;U1-1;F
3;GÖDÖLLŐI RC;B;F
5;GÖDÖLLŐI RC;S2-2;F
8;GÖDÖLLŐI RC;N1-1;F
17;GÖDÖLLŐI RC;S1-1;F
19;GÖDÖLLŐI RC;B;F
1;TFSE;N1-1;F
3;TFSE;U1-1;F
5;TFSE;B;F
8;TFSE;S1-3;F
6;TFSE;S2-3;F
9;TFSE;B;F
13;TFSE;S3-3;F
1;Jászberény Volleyball Team;B ;F
3;Jászberény Volleyball Team;S3;F
12;Jászberény Volleyball Team;U;F
15;Jászberény Volleyball Team;B;F
16;Jászberény Volleyball Team;N;F
18;Jászberény Volleyball Team;S1;F
20;Jászberény Volleyball Team;S2;F
99;MÁV ELŐRE Bericap;XXX;F
99;DSZC-EÖTVÖS DSE, DERECSKE;XXX;F
1;LE CANNET;U1-2-MVP;F
14;LE CANNET;U-2-2;F
3;LE CANNET;B2;F
5;LE CANNET;B1;F
7;LE CANNET;B3;F
8;LE CANNET;S4-4;F
9;LE CANNET;S1-4;F
10;LE CANNET;N;F
11;LE CANNET;S2-4;F
15;LE CANNET;S3-4;F
1;VANDOEUVRE NANCY;U1-2;F
2;VANDOEUVRE NANCY;B;F
5;VANDOEUVRE NANCY;B;F
15;VANDOEUVRE NANCY;N2-2;F
7;VANDOEUVRE NANCY;N1-2;F
11;VANDOEUVRE NANCY;S1-1;F
17;VANDOEUVRE NANCY;S3-3;F
12;VANDOEUVRE NANCY;S2-2/U2-2;F
1;ISTRES;B;F
6;ISTRES;B;F
10;ISTRES;S3-3;F
4;ISTRES;U1-1;F
11;ISTRES;N1-1;F
17;ISTRES;S1-3;F
18;ISTRES;S2-3;F
4;PARIS SAINT-CLOUD;S1-2;F
6;PARIS SAINT-CLOUD;S2-2;F
7;PARIS SAINT-CLOUD;B;F
9;PARIS SAINT-CLOUD;N1-1;F
11;PARIS SAINT-CLOUD;U1-1;F
19;PARIS SAINT-CLOUD;B;F
1;CHAMALIERES;U2-2/S3-3;F
20;CHAMALIERES;S2-2;F
6;CHAMALIERES;S1-2;F
3;CHAMALIERES;N2-2;F
14;CHAMALIERES;N1-2;F
7;CHAMALIERES;U1-2;F
12;CHAMALIERES;B;F
3;MOUGINS;N;F
6;MOUGINS;B;F
10;MOUGINS;N2-2;F
7;MOUGINS;S/U-MVP!!;F
11;MOUGINS;S3-3;F
12;MOUGINS;B;F
15;MOUGINS;S2-2prijem ;F
19;MOUGINS;U;F
3;MARCQ-EN-BAROEUL;S2-3;F
1;MARCQ-EN-BAROEUL;U1-1;F
4;MARCQ-EN-BAROEUL;B;F
6;MARCQ-EN-BAROEUL;S3-3;F
7;MARCQ-EN-BAROEUL;N1-1;F
11;MARCQ-EN-BAROEUL;B;F
19;MARCQ-EN-BAROEUL;S1-3;F
1;NANTES;S1-2;F
5;NANTES;S2-2;F
6;NANTES;U1-1;F
7;NANTES;B Ž;F
8;NANTES;N1-1;F
10;NANTES;B Ž;F
1;MULHOUSE;S1-3;F
12;MULHOUSE;S3-3;F
4;MULHOUSE;S2-3;F
5;MULHOUSE;B;F
10;MULHOUSE;N1-1;F
13;MULHOUSE;U1-1;F
16;MULHOUSE;B;F
1;CANNES;B Ž;F
2;CANNES;U1-1;F
4;CANNES;S3-3;F
5;CANNES;S1-3-MVP ;F
10;CANNES;S2-3;F
15;CANNES;N1-1;F
19;CANNES;B Ž;F
1;PAYS D'AIX VENELLES;B;F
3;PAYS D'AIX VENELLES;B;F
11;PAYS D'AIX VENELLES;N1-1;F
14;PAYS D'AIX VENELLES;S2-2;F
19;PAYS D'AIX VENELLES;U1-1;F
20;PAYS D'AIX VENELLES;S1-2- MVP;F
1;SAINT-RAPHAËL;N1-2;F
4;SAINT-RAPHAËL;N2-2;F
5;SAINT-RAPHAËL;S2-2;F
6;SAINT-RAPHAËL;B1;F
7;SAINT-RAPHAËL;S1-2;F
13;SAINT-RAPHAËL;U1-1;F
15;SAINT-RAPHAËL;B;F
4;TERVILLE-FLORANGE;S2-2;F
10;TERVILLE-FLORANGE;U1-1;F
